original_name,clean_name,weight,unit,packaging_type
OMO Bột Giặt Comfort H. Hoa Hồng Pháp Ngọt Ngào 700g (Gói),OMO Bột Giặt Comfort H. Hoa Hồng Pháp Ngọt Ngào,700.0,g,Gói
OMO Bột Giặt Đỏ Hương Thơm Mát 380g (Gói),OMO Bột Giặt Đỏ Hương Thơm Mát,380.0,g,Gói
OMO Bột giặt đỏ hương thơm mát 770g (Cái),OMO Bột giặt đỏ hương thơm mát,770.0,g,Cái
OMO NướcGiặt MG C.Trước H.Hoa OảiHương Thư Thái 2.6kg (Chai),OMO NướcGiặt MG C.Trước H.Hoa OảiHương Thư Thái,2.6,kg,Chai
OMO Viên Giặt Hương Tinh Tế 210g (Hộp),OMO Viên Giặt Hương Tinh Tế,210.0,g,Hộp
OMO Viên Giặt Hương Tươi Mát 210g (Hộp),OMO Viên Giặt Hương Tươi Mát,210.0,g,Hộp
OMO bột giặt comfort tinh dầu thơm sang trọng vàng 700g (Cái),OMO bột giặt comfort tinh dầu thơm sang trọng vàng,700.0,g,Cái
SURF Nước Giặt Hương Cỏ Hoa Diệu Kì 3.6Kg (Túi),SURF Nước Giặt Hương Cỏ Hoa Diệu Kì,3.6,kg,Túi
SUN NLS BIOSHIELD Hương Chanh Yuzu & Sả 1kg (Cái),SUN NLS BIOSHIELD Hương Chanh Yuzu & Sả,1.0,kg,Cái
SUN NLS Tinh dầu thảo mộc h.Diên vỹ Bạch đàn 1kg (Chai),SUN NLS Tinh dầu thảo mộc h.Diên vỹ Bạch đàn,1.0,kg,Chai
SUN SUNLIGHT Lau Bếp Bọt Tuyết Powerfoam 500ml (Chai),SUN SUNLIGHT Lau Bếp Bọt Tuyết Powerfoam,500.0,ml,Chai
SUN SUNLIGHT NLS TD Thảo Mộc Hương Lily & Bạch Trà 1kg (Chai),SUN SUNLIGHT NLS TD Thảo Mộc Hương Lily & Bạch Trà,1.0,kg,Chai
SUN SUNLIGHT NLS TD Thảo Mộc Hương Lily & Bạch Trà 3.6kg (Can),SUN SUNLIGHT NLS TD Thảo Mộc Hương Lily & Bạch Trà,3.6,kg,Can
SUNLIGHT NLS BIOSHIELD Hương Chanh Yuzu & Sả 3.6kg (Cái),SUNLIGHT NLS BIOSHIELD Hương Chanh Yuzu & Sả,3.6,kg,Cái
SUNLIGHT NLS Tinh Dầu Thảo Mộc H Hoa Lavender 1kg (Chai),SUNLIGHT NLS Tinh Dầu Thảo Mộc H Hoa Lavender,1.0,kg,Chai
SUNLIGHT Nước Lau Đa Năng Chanh & Sả 500ml (Cái),SUNLIGHT Nước Lau Đa Năng Chanh & Sả,500.0,ml,Cái
VIM tẩy rửa trắng sáng hương chanh sả 870ml (Chai),VIM tẩy rửa trắng sáng hương chanh sả,870.0,ml,Chai
VIM vệ sinh xanh biển 500ml (Chai),VIM vệ sinh xanh biển,500.0,ml,Chai
VIM vệ sinh xanh biển 880ml (Chai),VIM vệ sinh xanh biển,880.0,ml,Chai
LUX Sữa Tắm Hương Hoa Thiên Điểu 570g (Chai),LUX Sữa Tắm Hương Hoa Thiên Điểu,570.0,g,Chai
LUX xà bông cục Hương Phong Lan Quyến Rũ 105g (Bánh),LUX xà bông cục Hương Phong Lan Quyến Rũ,105.0,g,Bánh
LBF xà bông cục bảo vệ vượt trội 125g (Bánh),LBF xà bông cục bảo vệ vượt trội,125.0,g,Bánh
LFB LIFEBUOY Xà Bông Cục Matcha & Khổ Qua 125g (Cái),LFB LIFEBUOY Xà Bông Cục Matcha & Khổ Qua,125.0,g,Cái
LFB LIFEBUOY sữa tắm bảo vệ vượt trội 350g (Cái),LFB LIFEBUOY sữa tắm bảo vệ vượt trội,350.0,g,Cái
LFB Sữa Tắm Trà Xanh Khổ Qua 800G (Chai),LFB Sữa Tắm Trà Xanh Khổ Qua,800.0,g,Chai
LFB nước rửa tay bạc bảo vệ 180g (Cái),LFB nước rửa tay bạc bảo vệ,180.0,g,Cái
LFB sữa tắm vượt trội 10 1.1kg (Cái),LFB sữa tắm vượt trội 10,1.1,kg,Cái
LFB xà bông cục bảo vệ vượt trội 90g (Bánh),LFB xà bông cục bảo vệ vượt trội,90.0,g,Bánh
LIFEBOUY Nước Rửa Tay Vitamin Bảo Vệ Vượt Trội 4kg (Chai),LIFEBOUY Nước Rửa Tay Vitamin Bảo Vệ Vượt Trội,4.0,kg,Chai
DOVE Dầu Gội BIOTIN Ngăn Gãy Rụng Tóc 6g (Dây),DOVE Dầu Gội BIOTIN Ngăn Gãy Rụng Tóc,6.0,g,Dây
DOVE Dầu Gội CERAMIDE Phục Hồi Hư Tổn 6g (Dây),DOVE Dầu Gội CERAMIDE Phục Hồi Hư Tổn,6.0,g,Dây
DOVE Kem Xả Serum BIOTIN Ngăn Gãy Rụng Tóc 6g (Dây),DOVE Kem Xả Serum BIOTIN Ngăn Gãy Rụng Tóc,6.0,g,Dây
CLEAR Dầu Gội 9 Thảo Dược Cổ Truyền 6g (Gói),CLEAR Dầu Gội 9 Thảo Dược Cổ Truyền,6.0,g,Gói
CLEAR Dầu Gội Mát Lạnh Bạc Hà 6g (Gói),CLEAR Dầu Gội Mát Lạnh Bạc Hà,6.0,g,Gói
CLEAR Dầu Gội Sạch Gàu Gừng Và Hoa Cúc 6g (Dây),CLEAR Dầu Gội Sạch Gàu Gừng Và Hoa Cúc,6.0,g,Dây
CLEAR MEN Dầu Gội Mát Lạnh Bạc Hà 5g (Gói),CLEAR MEN Dầu Gội Mát Lạnh Bạc Hà,5.0,g,Gói
CLEAR MEN Dầu Gội Mát Lạnh Bạc Hà 630g (Chai),CLEAR MEN Dầu Gội Mát Lạnh Bạc Hà,630.0,g,Chai
CLEAR dầu gội mát lạnh bạc hà 630g (Chai),CLEAR dầu gội mát lạnh bạc hà,630.0,g,Chai
SSK SUNSILK Dầu Gội Mềm Mượt Diệu Kỳ Vàng 6g (Gói),SSK SUNSILK Dầu Gội Mềm Mượt Diệu Kỳ Vàng,6.0,g,Gói
SSK SUNSILK Dầu Gội Ngăn Gãy Rụng Tóc Xanh 380ml (Chai),SSK SUNSILK Dầu Gội Ngăn Gãy Rụng Tóc Xanh,380.0,ml,Chai
SSK SUNSILK Dầu Xả Mềm Mượt Diệu Kỳ Vàng 6g (Gói),SSK SUNSILK Dầu Xả Mềm Mượt Diệu Kỳ Vàng,6.0,g,Gói
SSK SUNSILK Dầu Xả Óng Mượt Rạng Ngời Đen 6g (Gói),SSK SUNSILK Dầu Xả Óng Mượt Rạng Ngời Đen,6.0,g,Gói
KĐR P/S Trà Xanh 180g (Cái),KĐR P/S Trà Xanh,180.0,g,Cái
P/S KĐR Thảo Dược 150g (Tuýp),P/S KĐR Thảo Dược,150.0,g,Tuýp
