original_name,clean_name,category,weight,unit,pack_size,packaging_type,old_edge_case,new_edge_case,description
OMO Bột Giặt Comfort H. Hoa Hồng Pháp Ngọt Ngào 700g (Gói),OMO Bột Giặt Comfort H. Hoa Hồng Pháp Ngọt Ngào,Giặt giũ và chăm sóc quần áo,700.0,g,,,Item Code Prefix,Standard,Mã hàng 3-4 số ở đầu tên
OMO Bột Giặt Đỏ Hương Thơm Mát 380g (Gói),OMO Bột Giặt Đỏ Hương Thơm Mát,Giặt giũ và chăm sóc quần áo,380.0,g,,,Item Code Prefix,Standard,Mã hàng 3-4 số ở đầu tên
OMO Bột giặt đỏ hương thơm mát 770g (Cái),OMO Bột giặt đỏ hương thơm mát,Giặt giũ và chăm sóc quần áo,770.0,g,,,Item Code Prefix,Standard,Mã hàng 3-4 số ở đầu tên
OMO NướcGiặt MG C.Trước H.Hoa OảiHương Thư Thái 2.6kg (Chai),OMO NướcGiặt MG C.Trước H.Hoa OảiHương Thư Thái,Giặt giũ và chăm sóc quần áo,2.6,kg,,,Item Code Prefix,Standard,Mã hàng 3-4 số ở đầu tên
OMO Viên Giặt Hương Tinh Tế 210g (Hộp),OMO Viên Giặt Hương Tinh Tế,Giặt giũ và chăm sóc quần áo,210.0,g,,,Item Code Prefix,Standard,Mã hàng 3-4 số ở đầu tên
OMO Viên Giặt Hương Tươi Mát 210g (Hộp),OMO Viên Giặt Hương Tươi Mát,Giặt giũ và chăm sóc quần áo,210.0,g,,,Item Code Prefix,Standard,Mã hàng 3-4 số ở đầu tên
OMO bột giặt comfort tinh dầu thơm sang trọng vàng 700g (Cái),OMO bột giặt comfort tinh dầu thơm sang trọng vàng,Giặt giũ và chăm sóc quần áo,700.0,g,,,Item Code Prefix,Standard,Mã hàng 3-4 số ở đầu tên
SURF Nước Giặt Hương Cỏ Hoa Diệu Kì 3.6Kg (Túi),SURF Nước Giặt Hương Cỏ Hoa Diệu Kì,Giặt giũ và chăm sóc quần áo,3.6,kg,,,Item Code Prefix,Standard,Mã hàng 3-4 số ở đầu tên
SUN NLS BIOSHIELD Hương Chanh Yuzu & Sả 1kg (Cái),SUN NLS BIOSHIELD Hương Chanh Yuzu & Sả,Vệ sinh nhà cửa,1.0,kg,,,Item Code Prefix,Standard,Mã hàng 3-4 số ở đầu tên
SUN NLS Tinh dầu thảo mộc h.Diên vỹ Bạch đàn 1kg (Chai),SUN NLS Tinh dầu thảo mộc h.Diên vỹ Bạch đàn,Vệ sinh nhà cửa,1.0,kg,,,Item Code Prefix,Standard,Mã hàng 3-4 số ở đầu tên
SUN SUNLIGHT Lau Bếp Bọt Tuyết Powerfoam 500ml (Chai),SUN SUNLIGHT Lau Bếp Bọt Tuyết Powerfoam,Vệ sinh nhà cửa,500.0,ml,,,Item Code Prefix,Standard,Mã hàng 3-4 số ở đầu tên
SUN SUNLIGHT NLS TD Thảo Mộc Hương Lily & Bạch Trà 1kg (Chai),SUN SUNLIGHT NLS TD Thảo Mộc Hương Lily & Bạch Trà,Vệ sinh nhà cửa,1.0,kg,,,Item Code Prefix,Standard,Mã hàng 3-4 số ở đầu tên
