Tên sản phẩm,Ngành hàng,Loại edge case,Mô tả,
OMO Bột Giặt Comfort H. Hoa Hồng Pháp Ngọt Ngào 700g (Gói),Giặt giũ và chăm sóc quần áo,Item Code Prefix,Mã hàng 3-4 số ở đầu tên,
OMO Bột Giặt Đỏ Hương Thơm Mát 380g (Gói),Giặt giũ và chăm sóc quần áo,Item Code Prefix,Mã hàng 3-4 số ở đầu tên,
OMO Bột giặt đỏ hương thơm mát 770g (Cái),Giặt giũ và chăm sóc quần áo,Item Code Prefix,Mã hàng 3-4 số ở đầu tên,
OMO NướcGiặt MG C.Trước H.Hoa OảiHương Thư Thái 2.6kg (Chai),Giặt giũ và chăm sóc quần áo,Item Code Prefix,Mã hàng 3-4 số ở đầu tên,
OMO Viên Giặt Hương Tinh Tế 210g (Hộp),Giặt giũ và chăm sóc quần áo,Item Code Prefix,Mã hàng 3-4 số ở đầu tên,
OMO Viên Giặt Hương Tươi Mát 210g (Hộp),Giặt giũ và chăm sóc quần áo,Item Code Prefix,Mã hàng 3-4 số ở đầu tên,
OMO bột giặt comfort tinh dầu thơm sang trọng vàng 700g (Cái),Giặt giũ và chăm sóc quần áo,Item Code Prefix,Mã hàng 3-4 số ở đầu tên,
SURF Nước Giặt Hương Cỏ Hoa Diệu Kì 3.6Kg (Túi),Giặt giũ và chăm sóc quần áo,Item Code Prefix,Mã hàng 3-4 số ở đầu tên,
SUN NLS BIOSHIELD Hương Chanh Yuzu & Sả 1kg (Cái),Vệ sinh nhà cửa,Item Code Prefix,Mã hàng 3-4 số ở đầu tên,
SUN NLS Tinh dầu thảo mộc h.Diên vỹ Bạch đàn 1kg (Chai),Vệ sinh nhà cửa,Item Code Prefix,Mã hàng 3-4 số ở đầu tên,
SUN SUNLIGHT Lau Bếp Bọt Tuyết Powerfoam 500ml (Chai),Vệ sinh nhà cửa,Item Code Prefix,Mã hàng 3-4 số ở đầu tên,
SUN SUNLIGHT NLS TD Thảo Mộc Hương Lily & Bạch Trà 1kg (Chai),Vệ sinh nhà cửa,Item Code Prefix,Mã hàng 3-4 số ở đầu tên,
SUN SUNLIGHT NLS TD Thảo Mộc Hương Lily & Bạch Trà 3.6kg (Can),Vệ sinh nhà cửa,Item Code Prefix,Mã hàng 3-4 số ở đầu tên,
SUNLIGHT NLS BIOSHIELD Hương Chanh Yuzu & Sả 3.6kg (Cái),Vệ sinh nhà cửa,Item Code Prefix,Mã hàng 3-4 số ở đầu tên,
SUNLIGHT NLS Tinh Dầu Thảo Mộc H Hoa Lavender 1kg (Chai),Vệ sinh nhà cửa,Item Code Prefix,Mã hàng 3-4 số ở đầu tên,
SUNLIGHT Nước Lau Đa Năng Chanh & Sả 500ml (Cái),Vệ sinh nhà cửa,Item Code Prefix,Mã hàng 3-4 số ở đầu tên,
VIM tẩy rửa trắng sáng hương chanh sả 870ml (Chai),Vệ sinh nhà cửa,Item Code Prefix,Mã hàng 3-4 số ở đầu tên,
VIM vệ sinh xanh biển 500ml (Chai),Vệ sinh nhà cửa,Item Code Prefix,Mã hàng 3-4 số ở đầu tên,
VIM vệ sinh xanh biển 880ml (Chai),Vệ sinh nhà cửa,Item Code Prefix,Mã hàng 3-4 số ở đầu tên,
LUX Sữa Tắm Hương Hoa Thiên Điểu 570g (Chai),Chăm sóc cơ thể,Item Code Prefix,Mã hàng 3-4 số ở đầu tên,
LUX xà bông cục Hương Phong Lan Quyến Rũ 105g (Bánh),Chăm sóc cơ thể,Item Code Prefix,Mã hàng 3-4 số ở đầu tên,
LBF xà bông cục bảo vệ vượt trội 125g (Bánh),Chăm sóc cơ thể,Item Code Prefix,Mã hàng 3-4 số ở đầu tên,
LFB LIFEBUOY Xà Bông Cục Matcha & Khổ Qua 125g (Cái),Chăm sóc cơ thể,Item Code Prefix,Mã hàng 3-4 số ở đầu tên,
LFB LIFEBUOY sữa tắm bảo vệ vượt trội 350g (Cái),Chăm sóc cơ thể,Item Code Prefix,Mã hàng 3-4 số ở đầu tên,
LFB Sữa Tắm Trà Xanh Khổ Qua 800G (Chai),Chăm sóc cơ thể,Item Code Prefix,Mã hàng 3-4 số ở đầu tên,
LFB nước rửa tay bạc bảo vệ 180g (Cái),Chăm sóc sức khỏe,Item Code Prefix,Mã hàng 3-4 số ở đầu tên,
LFB sữa tắm vượt trội 10 1.1kg (Cái),Chăm sóc cơ thể,Item Code Prefix,Mã hàng 3-4 số ở đầu tên,
LFB xà bông cục bảo vệ vượt trội 90g (Bánh),Chăm sóc cơ thể,Item Code Prefix,Mã hàng 3-4 số ở đầu tên,
LIFEBOUY Nước Rửa Tay Vitamin Bảo Vệ Vượt Trội 4kg (Chai),Chăm sóc sức khỏe,Item Code Prefix,Mã hàng 3-4 số ở đầu tên,
