Loại hàng,Nhóm hàng(3 Cấp),Mã hàng,Mã vạch,Tên hàng,Thương hiệu,Giá bán,Giá vốn,Tồn kho,Đặt NCC,KH đặt,Dự kiến hết hàng,Tồn nhỏ nhất,Tồn lớn nhất,ĐVT,Mã ĐVT Cơ bản,Quy đổi,Thuộc tính,Mã HH Liên quan,"Hình ảnh (url1,url2...)",Quản lý lô-hạn sử dụng,Trọng lượng,Tích điểm,Đang kinh doanh,Được bán trực tiếp,Mô tả,Mẫu ghi chú,Vị trí,Hàng thành phần,Lô 1,Hạn sử dụng 1,Tồn 1
Hàng hóa,Thủ công>>Sự kiện>>Tết,29000032,,HS23-NGŨ VỊ TINH HOA(ver2),,"1,100,000.0","311,872.28",0.0,0.0,0.0,0 ngày,0.0,50.0,Set,,1.0,,,,0,0.0,1,1,1,,,,11000121:1|14000492:1|13001389:1|13001393:1|14000500:1|29000017:1|11001530:1,,,
Hàng hóa,Thủ công>>Sự kiện>>Tết,29000031,,HS22-NGŨ VỊ TINH HOA,,"1,100,000.0","297,006.38",0.0,0.0,0.0,0 ngày,0.0,50.0,Set,,1.0,,,,0,0.0,1,1,1,,,,11000118:1|14000492:1|13001389:1|13001393:1|14000500:1|29000017:1|11001530:1,,,
Hàng hóa,Thủ công>>Sự kiện>>Tết,29000030,,Set quà tết,,0.0,0.0,0.0,0.0,0.0,0 ngày,0.0,"999,999,999.0",Set,,1.0,,,,0,0.0,1,1,1,,,,,,,
Hàng hóa,"Bánh, kẹo, snack>>Bánh>>Bánh Tổng Hợp",Test,,Test,,0.0,0.0,0.0,0.0,0.0,0 ngày,0.0,"999,999,999.0",Chai,,1.0,,,,1,0.0,1,1,1,,,,,,,
Hàng hóa,"Dầu ăn, nước chấm, gia vị>>Gia vị>>Hạt nêm, bột ngọt",10001059,8935102419158,Vedan (2kg M) cánh bé 6 gói,,"110,000.0",0.0,0.0,0.0,0.0,0 ngày,0.0,"999,999,999.0",Gói,,1.0,,,https://cdn2-retail-images.kiotviet.vn/2026/02/07/bachhoabn/f0712cb6893a423ea11a1ce7ff30a0b2.jpeg,0,0.0,1,1,1,,,,,,,
Hàng hóa,"Dầu ăn, nước chấm, gia vị>>Gia vị>>Hạt nêm, bột ngọt",10001058-1,,Vedan (2kg M) cánh bé 6 gói,,"660,000.0",0.0,0.0,0.0,0.0,0 ngày,0.0,"166,666,666.50",Thùng,10001059,6.0,,10001059,,0,0.0,1,1,1,,,,,,,
Hàng hóa,Thủ công>>Sự kiện>>Tết,29000029,,HS21-NGŨ VỊ SUM VẦY(ver2),,"500,000.0","186,104.20",0.0,0.0,0.0,0 ngày,0.0,50.0,Set,,1.0,,,,0,0.0,1,1,1,,,,13000876:1|13000137:1|13000156:1|13001379:1|11000978:1|29000011:1|13001408:1,,,
Hàng hóa,Thủ công>>Sự kiện>>Tết,29000028,,HS20-NGŨ VỊ SUM VẦY,,"500,000.0",0.0,0.0,0.0,0.0,0 ngày,0.0,50.0,Set,,1.0,,,,0,0.0,1,1,1,,,,13000876:1|13000156:1|13001379:1|13001385:1|11000978:1|29000011:1|13001408:1,,,
Hàng hóa,Chăm sóc nhà cửa>>Giặt giũ và chăm sóc quần áo>>Bột Giặt,18001310,8934868169437,101OMO Bột Giặt Comfort H. Hoa Hồng Pháp Ngọt Ngào 700g/18 gói,,0.0,0.0,0.0,0.0,0.0,0 ngày,0.0,"999,999,999.0",Gói,,1.0,,,https://cdn2-retail-images.kiotviet.vn/2026/02/06/bachhoabn/1adc734be7fe43c485a5f9834dbc1cd5.jpeg,0,0.0,1,1,1,,,,,,,
Hàng hóa,"Dầu ăn, nước chấm, gia vị>>Gia vị>>Hạt nêm, bột ngọt",10001058,8934707012122,824Knorr Hạt nêm nấm hương Organic 170g/38 gói,,0.0,0.0,0.0,0.0,0.0,0 ngày,0.0,"999,999,999.0",Gói,,1.0,,,https://cdn2-retail-images.kiotviet.vn/2026/02/06/bachhoabn/bad7fb97233a43d799da61c6f6e27732.jpeg,0,0.0,1,1,1,,,,,,,
Hàng hóa,Chăm sóc cá nhân>>Chăm sóc tóc và da đầu>>Dầu gội,01001016,8934868192251,108DOVE Dầu Gội Ceramide Phục hồi hư tổn 880G/8 Chai,,"170,000.0",0.0,0.0,0.0,0.0,0 ngày,0.0,"999,999,999.0",Chai,,1.0,,,https://cdn2-retail-images.kiotviet.vn/2026/02/06/bachhoabn/7ef12af5a3cf4c1eb90f3ac67c051b11.jpeg,0,0.0,1,1,1,,,,,,,
Hàng hóa,Chăm sóc cá nhân>>Chăm sóc tóc và da đầu>>Dầu gội,01001017,8934868192152,108DOVE Dầu gội Ceramide Phục hồi hư tổn 640g/8 Chai,,"150,000.0",0.0,0.0,0.0,0.0,0 ngày,0.0,"999,999,999.0",Chai,,1.0,,,https://cdn2-retail-images.kiotviet.vn/2026/02/06/bachhoabn/7ac8f7b34c8d4d989da44c4d40603039.jpeg,0,0.0,1,1,1,,,,,,,
Hàng hóa,Chăm sóc cá nhân>>Chăm sóc tóc và da đầu>>Dầu xả,01001018,8934868180371,108DOVE Kem xả Phục hồi hư tổn 1 phút siêu dưỡng 320g/12 Tuýp,,"90,000.0",0.0,0.0,0.0,0.0,0 ngày,0.0,"999,999,999.0",Tuýp,,1.0,,,https://cdn2-retail-images.kiotviet.vn/2026/02/06/bachhoabn/167a2bc1fcc8415781cb052f9fad724e.jpeg,0,0.0,1,1,1,,,,,,,
Hàng hóa,Thủ công>>Sự kiện>>Tết,29000002,,HS02 – Tân Niên Hồng Phát,,"500,000.0","296,738.0",0.0,0.0,0.0,0 ngày,0.0,50.0,Set,,1.0,,,https://cdn1-retail-images.kiotviet.vn/2026/01/03/bachhoabn/e819eb00e1f744d7950a5191d73ab43c.jpg,0,0.0,1,1,1,,,,11000077:1|13000137:1|13000750:1|13001158:1|13001374:1|13001169:1|13001380:1|29000003:1,,,
Hàng hóa,Thủ công>>Sự kiện>>Tết,29000004,,HS01 – Đại Lộc Khai Niên,,"350,000.0",0.0,0.0,0.0,0.0,0 ngày,0.0,50.0,Set,,1.0,,,https://cdn1-retail-images.kiotviet.vn/2026/01/05/bachhoabn/9de8da4adfb24713b49567eef825297b.jpg,0,0.0,1,1,1,,,,13000136:1|13000371:2|13000137:1|13000143:1|13001158:1|29000003:1,,,
Hàng hóa,Thủ công>>Sự kiện>>Tết,29000007,,HS05- Vạn Sự Hanh Thông,,"750,000.0",0.0,0.0,0.0,0.0,0 ngày,0.0,50.0,Set,,1.0,,,https://cdn1-retail-images.kiotviet.vn/2026/01/05/bachhoabn/460de4701e864f5fadfcf63313c57b41.jpg,0,0.0,1,1,1,,,,11000564:1|13001075:1|13000634:1|13001159:1|13001160:1|13001163:1|13001379:1|11000971:1|29000003:1,,,
Hàng hóa,Thủ công>>Sự kiện>>Tết,29000005,,HS03 - Tấn Tài Tấn Lộc,,"600,000.0",0.0,0.0,0.0,0.0,0 ngày,0.0,50.0,Set,,1.0,,,https://cdn1-retail-images.kiotviet.vn/2026/01/05/bachhoabn/88967e0282f247a69571ece0222d667c.jpg,0,0.0,1,1,1,,,,13001372:1|13001158:1|13001169:1|13001379:1|11000969:1|13001385:1|29000003:1,,,
Hàng hóa,Thủ công>>Sự kiện>>Tết,29000006,,HS04 - Kim Tài Phát Vượng,,"550,000.0",0.0,0.0,0.0,0.0,0 ngày,0.0,50.0,Set,,1.0,,,https://cdn1-retail-images.kiotviet.vn/2026/01/05/bachhoabn/cced7020cef1460fb663d85a56e5a203.jpg,0,0.0,1,1,1,,,,11000009:1|13001074:1|13000146:1|13001370:1|13001375:1|13001164:1|13001166:1|29000003:1,,,
Hàng hóa,Thủ công>>Sự kiện>>Tết,29000008,,HS06-Tân Xuân Đại Cát,,"280,000.0",0.0,0.0,0.0,0.0,0 ngày,0.0,50.0,Set,,1.0,,,https://cdn1-retail-images.kiotviet.vn/2026/01/14/bachhoabn/36d2f1b276384adb8396bff9e7f387b1.jpeg,0,0.0,1,1,1,,,,11000209:5|13000876:2|11000234:1|29000003:1,,,
Hàng hóa,Thủ công>>Sự kiện>>Tết,29000009,,HS07- Mã Đáo Thành Công,,"450,000.0",0.0,0.0,0.0,0.0,0 ngày,0.0,50.0,Set,,1.0,,,https://cdn2-retail-images.kiotviet.vn/2026/01/19/bachhoabn/892f3107f652492ab0d5774a158d62fd.jpg,0,0.0,1,1,1,,,,11000077:1|13000371:1|13000876:1|13001371:1|13001168:1|13001380:1|11000970:1|29000003:1,,,
Hàng hóa,Thủ công>>Sự kiện>>Tết,29000010,,HS08 - Tiền Vô Như Nước,,"730,000.0",0.0,0.0,0.0,0.0,0 ngày,0.0,50.0,Set,,1.0,,,https://cdn1-retail-images.kiotviet.vn/2026/01/20/bachhoabn/1f728e02cc934100a15779463aeecf63.jpg,0,0.0,1,1,1,,,,13001075:1|13000901:1|13001159:1|13001161:1|13001380:1|14000492:1|11000976:1|29000011:1,,,
Hàng hóa,Thủ công>>Sự kiện>>Tết,29000014,,HS09 - Phúc Vị Khai Xuân,,"700,000.0",0.0,0.0,0.0,0.0,0 ngày,0.0,50.0,Set,,1.0,,,https://cdn1-retail-images.kiotviet.vn/2026/01/23/bachhoabn/85dd19557e06464a98c6335ed7101865.jpg,0,0.0,1,1,1,,,,11000127:1|13001385:1|14000492:1|14000491:1|14000490:1|13001389:1|13001393:1|29000015:1,,,
Hàng hóa,Thủ công>>Sự kiện>>Tết,29000016,,HS10-Tửu Lộc Khai Xuân,,"1,000,000.0",0.0,0.0,0.0,0.0,0 ngày,0.0,50.0,Set,,1.0,,,https://cdn1-retail-images.kiotviet.vn/2026/01/27/bachhoabn/28a6ede358c742f5a1161a1370f4e45a.jpg,0,0.0,1,1,1,,,,11000121:1|11000969:1|14000492:1|14000490:1|14000489:1|13001389:1|13001393:1|29000017:1,,,
Hàng hóa,Thủ công>>Sự kiện>>Tết,29000018,,HS11-HỒNG TỬU KHAI XUÂN,,"500,000.0",0.0,0.0,0.0,0.0,0 ngày,0.0,50.0,Set,,1.0,,,https://cdn2-retail-images.kiotviet.vn/2026/01/30/bachhoabn/1faf676ace374a46aad089e3971003bd.jpg,0,0.0,1,1,1,,,,13000876:1|13001371:1|13001169:1|11000970:1|14000492:1|29000011:1|14000500:1,,,
Hàng hóa,Thủ công>>Sự kiện>>Tết,29000019,,HS12-AN KHANG PHÚC KHỞI,,"200,000.0",0.0,0.0,0.0,0.0,0 ngày,0.0,50.0,Túi,,1.0,,,,0,0.0,1,1,1,,,,13000144:1|11000242:1|13000156:1|13001380:1|14000497:1|29000020:1,,,
Hàng hóa,Thủ công>>Sự kiện>>Tết,29000021,,HS13-CÁT HỶ VIÊN MÃN,,"220,000.0",0.0,0.0,0.0,0.0,0 ngày,0.0,50.0,Túi,,1.0,,,,0,0.0,1,1,1,,,,11000209:1|13000626:1|13000750:1|13001380:1|14000500:1|29000020:1,,,
Hàng hóa,Thủ công>>Sự kiện>>Tết,29000022,,HS14-THANH NHÀN TỰ TẠI,,"250,000.0",0.0,0.0,0.0,0.0,0 ngày,0.0,50.0,Túi,,1.0,,,,0,0.0,1,1,1,,,,11000217:1|13001112:1|13001159:1|13001380:1|29000020:1,,,
Hàng hóa,Thủ công>>Sự kiện>>Tết,29000023,,HS15-NGỌT LÀNH SUM VẦY,,"350,000.0",0.0,0.0,0.0,0.0,0 ngày,0.0,50.0,Set,,1.0,,,,0,0.0,1,1,1,,,,13000627:1|13000371:2|13000146:2|13001158:1|29000003:1,,,
Hàng hóa,Thủ công>>Sự kiện>>Tết,29000024,,HS16-AN VỊ ĐỦ ĐẦY,,"450,000.0",0.0,0.0,0.0,0.0,0 ngày,0.0,50.0,Set,,1.0,,,,0,0.0,1,1,1,,,,11000077:1|13000137:1|13001372:1|13001169:1|11000970:1|29000003:1|14000500:1,,,
Hàng hóa,Thủ công>>Sự kiện>>Tết,29000025,,HS17-TỤ HỶ CÁT TƯỜNG,,"350,000.0",0.0,0.0,0.0,0.0,0 ngày,0.0,50.0,Set,,1.0,,,,0,0.0,1,1,1,,,,13000627:1|13000371:2|13000137:1|13000143:1|13001158:1|29000003:1,,,
Hàng hóa,Thủ công>>Sự kiện>>Tết,29000026,,HS18-HỒNG LỘC KHAI XUÂN,,"700,000.0","440,589.68",0.0,0.0,0.0,0 ngày,0.0,50.0,Set,,1.0,,,https://cdn2-retail-images.kiotviet.vn/2026/01/30/bachhoabn/9d18122f918948ff92a67cc075342575.jpeg,0,0.0,1,1,1,,,,11000580:1|13001372:1|13001158:1|13001165:1|13001168:1|13001380:1|11000970:1|13001385:1|29000011:1,,,
Hàng hóa,Thủ công>>Sự kiện>>Tết,29000027,,HS19-HỒNG TỬU KHAI XUÂN(ver2),,"600,000.0",0.0,0.0,0.0,0.0,0 ngày,0.0,50.0,Set,,1.0,,,https://cdn2-retail-images.kiotviet.vn/2026/02/04/bachhoabn/7b37e31271ce46b792c0dec4ddfead19.jpg,0,0.0,1,1,1,,,,13000876:1|13000796:1|13001371:1|13001168:1|11000969:1|29000011:1|14000500:1,,,
Hàng hóa,"Bánh, kẹo, snack>>Bánh>>Bánh Tổng Hợp",13001411,8936239310127,Bánh Chả Vân Giang 300g,,"48,000.0",0.0,0.0,0.0,0.0,0 ngày,0.0,"999,999,999.0",Gói,,1.0,,,https://cdn2-retail-images.kiotviet.vn/2026/02/06/bachhoabn/08aab628f5e74b3ab3b8e07c503690ec.jpeg,0,0.0,1,1,1,,,,,,,
Hàng hóa,"Gạo, bột và thực phẩm khô>>Thực phẩm ăn liền>>Miến, bún, nui, bánh đa.. Đồ khô",09001427,,Mộc nhĩ,,0.0,0.0,0.0,0.0,0.0,0 ngày,0.0,"999,999,999.0",Kg,,1.0,,,,0,,1,1,1,,,,,,,
Hàng hóa,"Rau, củ, trái cây>>Rau, củ>>Nấm, hạt … khô",09001426,,Nấm,,0.0,0.0,0.0,0.0,0.0,0 ngày,0.0,"999,999,999.0",Kg,,1.0,,,,0,,1,1,1,,,,,,,
Hàng hóa,"Rau, củ, trái cây>>Rau, củ>>Nấm, hạt … khô",14000504,,Hướng dương,,0.0,0.0,0.0,0.0,0.0,0 ngày,0.0,"999,999,999.0",Bao,,1.0,,,,0,,1,1,1,,,,,,,
Hàng hóa,"Rau, củ, trái cây>>Rau, củ>>Nấm, hạt … khô",09001425,,Thuốc bắc,,0.0,0.0,0.0,0.0,0.0,0 ngày,0.0,"999,999,999.0",Túi,,1.0,,,,0,,1,1,1,,,,,,,
Hàng hóa,"Gạo, bột và thực phẩm khô>>Thực phẩm ăn liền>>Miến, bún, nui, bánh đa.. Đồ khô",09001424,,Túi nem,,0.0,0.0,0.0,0.0,0.0,0 ngày,0.0,"999,999,999.0",Thếp,,1.0,,,,0,,1,1,1,,,,,,,
Hàng hóa,"Bánh, kẹo, snack>>Kẹo>>Kẹo Tổng Hợp",13001410,,Kẹo lạc 500g,,0.0,0.0,0.0,0.0,0.0,0 ngày,0.0,"999,999,999.0",Gói,,1.0,,,,0,,1,1,1,,,,,,,
Hàng hóa,"Bánh, kẹo, snack>>Mứt, thạch, rong biển",13001409,,Mứt tết,,0.0,0.0,0.0,0.0,0.0,0 ngày,0.0,"999,999,999.0",Hộp,,1.0,,,,0,,1,1,1,,,,,,,
Hàng hóa,"Dầu ăn, nước chấm, gia vị>>Gia vị>>Muối, bột canh",10001057,,Muối,,0.0,0.0,0.0,0.0,0.0,0 ngày,0.0,"999,999,999.0",Kg,,1.0,,,,0,,1,1,1,,,,,,,
Hàng hóa,"Dầu ăn, nước chấm, gia vị>>Gia vị>>Tương ớt, tương cà, Mayonnaise",10001056,8936066340632,Xốt Mayonnaise Base Type (Horeca) - Kewpie Xô-3kg*4,,"170,000.0",0.0,0.0,0.0,0.0,0 ngày,0.0,"999,999,999.0",Xô,,1.0,,,https://cdn2-retail-images.kiotviet.vn/2026/02/03/bachhoabn/1374a0b64f7e405ab871ce6cfd77919a.jpeg,0,0.0,1,1,1,,,,,,,
Hàng hóa,"Dầu ăn, nước chấm, gia vị>>Gia vị>>Tương ớt, tương cà, Mayonnaise",10001056-1,8936066340632,Xốt Mayonnaise Base Type (Horeca) - Kewpie Xô-3kg*4,,"2,000,000.0",0.0,0.0,0.0,0.0,0 ngày,0.0,"83,333,333.250",Thùng,10001056,12.0,,10001056,,0,0.0,1,1,1,,,,,,,
Hàng hóa,Đồ uống>>Bia>>Bia nội địa,11001535,8936000440862,Bia lon Hà Nội vàng 330ml,,"13,000.0",0.0,0.0,0.0,0.0,0 ngày,0.0,"999,999,999.0",Lon,,1.0,,,https://cdn2-retail-images.kiotviet.vn/2026/02/03/bachhoabn/f32b2fc9eb70474eb984e11d8602e689.jpeg,0,0.0,1,1,1,,,,,,,
Hàng hóa,Đồ uống>>Bia>>Bia nội địa,11001535-1,8936000440886,Bia lon Hà Nội vàng 330ml,,"280,000.0",0.0,0.0,0.0,0.0,0 ngày,0.0,"41,666,666.625",Thùng,11001535,24.0,,11001535,,0,0.0,1,1,1,,,,,,,
Hàng hóa,"Dầu ăn, nước chấm, gia vị>>Gia vị>>Tương ớt, tương cà, tương đen",10001054,8934637011547,"Tương ớt pet 2,1 Kg(6 bình/thùng)",,"64,000.0",0.0,0.0,0.0,0.0,0 ngày,0.0,"999,999,999.0",Chai,,1.0,,,https://cdn2-retail-images.kiotviet.vn/2026/02/02/bachhoabn/1f5e4b8f60f04cef997df54c83ace3de.jpeg,0,0.0,1,1,1,,,,,,,
Hàng hóa,"Dầu ăn, nước chấm, gia vị>>Gia vị>>Tương ớt, tương cà, tương đen",10001054-1,,"Tương ớt pet 2,1 Kg(6 bình/thùng)",,"384,000.0",0.0,0.0,0.0,0.0,0 ngày,0.0,"166,666,666.50",Thùng,10001054,6.0,,10001054,,0,0.0,1,1,1,,,,,,,
Hàng hóa,"Dầu ăn, nước chấm, gia vị>>Dầu ăn>>Dầu ăn",10000877,8936035100175,Dầu Ăn Cao Cấp Vạn Thọ Đỏ 1L,,0.0,0.0,0.0,0.0,0.0,0 ngày,0.0,"999,999,999.0",Chai,,1.0,,,https://cdn2-retail-images.kiotviet.vn/2026/01/31/bachhoabn/f100ff9fc72a4b2ea11a9c7b45b8f737.jpeg,0,0.0,1,1,1,,,,,,,
Hàng hóa,"Dầu ăn, nước chấm, gia vị>>Dầu ăn>>Dầu ăn",10000877-1,,Dầu Ăn Cao Cấp Vạn Thọ Đỏ 1L,,0.0,0.0,0.0,0.0,0.0,0 ngày,0.0,"83,333,333.250",Thùng,10000877,12.0,,10000877,,0,0.0,1,1,1,,,,,,,
Hàng hóa,Đồ uống>>Nước ngọt>>Nước giải khát,11001534,8801043064118,Nước Soda Welch'S zero vị cam 355ml*24,,"16,000.0",0.0,0.0,0.0,0.0,0 ngày,0.0,"999,999,999.0",Lon,,1.0,,,https://cdn2-retail-images.kiotviet.vn/2026/01/30/bachhoabn/4c78bf730f234cc5be83743c292efa0f.jpeg,0,0.0,1,1,1,,,,,,,
Hàng hóa,Đồ uống>>Nước ngọt>>Nước giải khát,11001534-1,,Nước Soda Welch'S zero vị cam 355ml*24,,"384,000.0",0.0,0.0,0.0,0.0,0 ngày,0.0,"41,666,666.625",Thùng,11001534,24.0,,11001534,,0,0.0,1,1,1,,,,,,,
Hàng hóa,Đồ uống>>Nước ngọt>>Nước giải khát,11001533,8801043064088,Nước Welch'S zero hương nho tím 355ml*24,,"16,000.0",0.0,0.0,0.0,0.0,0 ngày,0.0,"999,999,999.0",Lon,,1.0,,,https://cdn2-retail-images.kiotviet.vn/2026/01/30/bachhoabn/373cef8b6d544f88ae2c01016dde004b.jpeg,0,0.0,1,1,1,,,,,,,
