Thời gian,Tổng tiền hàng (theo thời gian),Giảm giá (theo thời gian),Doanh thu (theo thời gian),Tổng giá vốn (theo thời gian),Lợi nhuận gộp (theo thời gian),Mã giao dịch,Chi nhánh,Thời gian (theo giao dịch),Tổng tiền hàng (theo giao dịch),Giảm giá (theo giao dịch),Doanh thu (theo giao dịch),Tổng giá vốn (theo giao dịch),Lợi nhuận gộp (theo giao dịch),Mã hàng,Mã vạch,Tên hàng,Thương hiệu,Nhóm hàng(3 Cấp),SL,Giá bán/SP,Giá vốn/SP,Lợi nhuận/SP,Tổng lợi nhuận hàng hóa
04/02/2026,"34,359,000",0,"34,359,000","25,879,518","8,479,482",HD012406,BHS Đại Phúc,04/02/2026 15:19:33,"36,000",0,"36,000","31,637","4,363",09000203,8935311110600,Cháo Sườn 70gr x 50 NĐ (HD) (Gói),,"Gạo, bột và thực phẩm khô>>Nui, mì, bún khô>>Phở, Mỳ",2.0,"9,000.0","8,205.93",794.07,"1,588"
04/02/2026,"34,359,000",0,"34,359,000","25,879,518","8,479,482",HD012406,BHS Đại Phúc,04/02/2026 15:19:33,"36,000",0,"36,000","31,637","4,363",09000993,8936221042463,Mì dinh dưỡng khoai tây Omachi trộn hương vị thịt xiên nướng 30gói x 90gr (Gói),,"Gạo, bột và thực phẩm khô>>Thực phẩm ăn liền>>Mì ăn liền",2.0,"9,000.0","7,612.50","1,387.50","2,775"
04/02/2026,"34,359,000",0,"34,359,000","25,879,518","8,479,482",HD012405,BHS Đại Phúc,04/02/2026 15:08:48,"27,000",0,"27,000","25,375","1,625",23000030,8934647041206,Thuốc lá Ngựa trắng (Bao),,Chăm sóc cá nhân>>Gây Hại Sức Khỏe>>Thuốc Lá,1.0,"27,000.0","25,375.0","1,625.0","1,625"
04/02/2026,"34,359,000",0,"34,359,000","25,879,518","8,479,482",HD012404,BHS Đại Phúc,04/02/2026 14:48:14,"20,000",0,"20,000","12,586","7,414",09000319,8936049051715,MÌ TÔ ĂN LIỀN-MÌ XỐT TƯƠNG ĐEN (Tô),Otoki,"Gạo, bột và thực phẩm khô>>Thực phẩm ăn liền>>Mì, bún, phở, cháo ăn liên, bánh gạo",1.0,"20,000.0","12,586.0","7,414.0","7,414"
04/02/2026,"34,359,000",0,"34,359,000","25,879,518","8,479,482",HD012403,BHS Đại Phúc,04/02/2026 14:44:42,"75,000",0,"75,000","64,153","10,847",08000273,8936034875258,Xúc xích tiệt trùng Ponnie vị Heo 20gói x 5cây x 35gr (Gói),,"Gạo, bột và thực phẩm khô>>Lạp xưởng, xúc xích, khô sấy>>Lạp xưởng, xúc xích ăn liền",1.0,"21,000.0","16,747.50","4,252.50","4,253"
04/02/2026,"34,359,000",0,"34,359,000","25,879,518","8,479,482",HD012403,BHS Đại Phúc,04/02/2026 14:44:42,"75,000",0,"75,000","64,153","10,847",09000347,8935311110327,Bánh đa cua tô 125gr x 12 NĐ (Tô),,"Gạo, bột và thực phẩm khô>>Thực phẩm ăn liền>>Mì, bún, phở, cháo ăn liên, bánh gạo",1.0,"27,000.0","23,552.14","3,447.86","3,448"
04/02/2026,"34,359,000",0,"34,359,000","25,879,518","8,479,482",HD012403,BHS Đại Phúc,04/02/2026 14:44:42,"75,000",0,"75,000","64,153","10,847",11000230,4897036692257,MONSTER GREEN 355ML 24 SLEEK CAN SF -trắng (Cái),,Đồ uống>>Nước ngọt>>Nước giải khát,1.0,"27,000.0","23,852.50","3,147.50","3,148"
04/02/2026,"34,359,000",0,"34,359,000","25,879,518","8,479,482",HD012402,BHS Đại Phúc,04/02/2026 14:32:22,"1,262,000",0,"1,262,000","1,164,409","97,591",11000195,8934822212339,Bia Heineken 330ml/24. (Lon),Heineken,Đồ uống>>Bia>>Bia nội địa,24.0,"18,333.33","17,559.50",773.83,"18,572"
04/02/2026,"34,359,000",0,"34,359,000","25,879,518","8,479,482",HD012402,BHS Đại Phúc,04/02/2026 14:32:22,"1,262,000",0,"1,262,000","1,164,409","97,591",11000198,8935012413321,Bia lon Saigon Lager 330ml (Lon),Sabeco,Đồ uống>>Bia>>Bia nội địa,24.0,"11,250.0","10,869.0",381.0,"9,144"
04/02/2026,"34,359,000",0,"34,359,000","25,879,518","8,479,482",HD012402,BHS Đại Phúc,04/02/2026 14:32:22,"1,262,000",0,"1,262,000","1,164,409","97,591",11000209,8935049501503,Đồ uống COKE 320ML 4X6 SC SF (Lon),,Đồ uống>>Nước ngọt>>Nước giải khát,24.0,"7,500.0","7,189.57",310.43,"7,450"
04/02/2026,"34,359,000",0,"34,359,000","25,879,518","8,479,482",HD012402,BHS Đại Phúc,04/02/2026 14:32:22,"1,262,000",0,"1,262,000","1,164,409","97,591",11000242,8936010532199,Trà đào sả (Nhãn hiệu Cozy) (320ml) (Lon),Cozy,Đồ uống>>Nước ngọt>>Nước giải khát,24.0,"8,000.0","6,343.75","1,656.25","39,750"
04/02/2026,"34,359,000",0,"34,359,000","25,879,518","8,479,482",HD012402,BHS Đại Phúc,04/02/2026 14:32:22,"1,262,000",0,"1,262,000","1,164,409","97,591",11000520,8935049501480,Minute Maid Splash nước cam ép 320ml (Lon),,Đồ uống>>Nước ngọt>>Nước giải khát,24.0,"7,500.0","6,555.21",944.79,"22,675"
04/02/2026,"34,359,000",0,"34,359,000","25,879,518","8,479,482",HD012401,BHS Đại Phúc,04/02/2026 14:21:18,"16,000",0,"16,000","10,667","5,333",19000616,8936201851573,"Vở kẻ ngang CNB120-STR 175*250mm, 70g - 1/5/80 (Quyển)",,Nhà cửa và đời sống>>Văn phòng phẩm>>Văn Phòng Phẩm,1.0,"16,000.0","10,666.68","5,333.32","5,333"
04/02/2026,"34,359,000",0,"34,359,000","25,879,518","8,479,482",HD012400,BHS Đại Phúc,04/02/2026 13:26:21,"37,000",0,"37,000","28,769","8,231",11000378,8934588063145,Aquafina chai nhựa 355x24 (Chai),Pepsi,Đồ uống>>Nước ngọt>>Nước giải khát,2.0,"5,000.0","3,467.92","1,532.08","3,064"
04/02/2026,"34,359,000",0,"34,359,000","25,879,518","8,479,482",HD012400,BHS Đại Phúc,04/02/2026 13:26:21,"37,000",0,"37,000","28,769","8,231",11000566,8934588642265,Boss cà Phê sữa Lon 235x24 Lốc 6 (Lon),,"Đồ uống>>Trà>>Trà, Cà phê, cacao",1.0,"11,000.0","9,193.87","1,806.13","1,806"
04/02/2026,"34,359,000",0,"34,359,000","25,879,518","8,479,482",HD012400,BHS Đại Phúc,04/02/2026 13:26:21,"37,000",0,"37,000","28,769","8,231",12000806,8885013130751,Kem FRUTYROLL (Que),,Thực phẩm đông mát>>Kem,1.0,"8,000.0","7,105.0",895.0,895
